Date,TSMC_Closing_Price
2026-01-02,1585.0
2026-01-05,1670.0
2026-01-06,1705.0
2026-01-07,1675.0
2026-01-08,1685.0
2026-01-09,1680.0
2026-01-12,1690.0
2026-01-13,1710.0
2026-01-14,1710.0
2026-01-15,1690.0
2026-01-16,1740.0
2026-01-19,1760.0
2026-01-20,1775.0
2026-01-21,1740.0
2026-01-22,1760.0
2026-01-23,1770.0
2026-01-26,1755.0
2026-01-27,1780.0
2026-01-28,1820.0
2026-01-29,1805.0
2026-01-30,1775.0
2026-02-02,1765.0
2026-02-03,1800.0
2026-02-04,1785.0
2026-02-05,1765.0
2026-02-06,1780.0
2026-02-09,1815.0
2026-02-10,1880.0
2026-02-11,1915.0
2026-02-23,1900.0
2026-02-24,1965.0
2026-02-25,2015.0
2026-02-26,1995.0
2026-03-02,1975.0
2026-03-03,1935.0
2026-03-04,1865.0
2026-03-05,1900.0
2026-03-06,1890.0
2026-03-09,1810.0
2026-03-10,1850.0
2026-03-11,1940.0
2026-03-12,1885.0
2026-03-13,1865.0
2026-03-16,1845.0
2026-03-17,1870.0
2026-03-18,1905.0
2026-03-19,1850.0
2026-03-20,1840.0
2026-03-23,1810.0
2026-03-24,1810.0
2026-03-25,1845.0
2026-03-26,1840.0
2026-03-27,1820.0
2026-03-30,1780.0
2026-03-31,1760.0
2026-04-01,1855.0
2026-04-02,1810.0
2026-04-07,1860.0
2026-04-08,1950.0
2026-04-09,1955.0
2026-04-10,2000.0
2026-04-13,1990.0
2026-04-14,2055.0
2026-04-15,2080.0
2026-04-16,2085.0
2026-04-17,2030.0
2026-04-20,2025.0
2026-04-21,2050.0
2026-04-22,2050.0
2026-04-23,2080.0
2026-04-24,2185.0
2026-04-27,2265.0
2026-04-28,2215.0
2026-04-29,2180.0
2026-04-30,2135.0
2026-05-04,2275.0
2026-05-05,2250.0
2026-05-06,2250.0
2026-05-07,2310.0
2026-05-08,2290.0
2026-05-11,2235.0
2026-05-12,2255.0
2026-05-13,2220.0
2026-05-14,2270.0
2026-05-15,2265.0
2026-05-18,2240.0
2026-05-19,2205.0
2026-05-20,2185.0
2026-05-21,2230.0
2026-05-22,2255.0
2026-05-25,2310.0
2026-05-26,2270.0
2026-05-27,2300.0
2026-05-28,2295.0
2026-05-29,2355.0
2026-06-01,2355.0
2026-06-02,2380.0
2026-06-03,2425.0
2026-06-04,2385.0
2026-06-05,2365.0
